Date,strategy_return,gross_strategy_return,exposure,turnover,equity,gross_equity,drawdown,strategy_key,model_key,split,threshold
2020-01-02,-0.007454670361715627,-0.007354670361715628,1.0,1.0,0.9925453296382843,0.9926453296382843,0.0,buy_and_hold,buy_and_hold,validation,
2020-01-03,0.0032648478202735496,0.0032648478202735496,1.0,0.0,0.9957858390942765,0.9958861655790585,0.0,buy_and_hold,buy_and_hold,validation,
2020-01-06,-0.002531530021794367,-0.002531530021794367,1.0,0.0,0.9932649773473317,0.9933650498526054,-0.0025315300217944037,buy_and_hold,buy_and_hold,validation,
2020-01-07,0.004972990248939713,0.004972990248939713,1.0,0.0,0.9982044743942933,0.9983050445591599,0.0,buy_and_hold,buy_and_hold,validation,
2020-01-08,0.006676911858745378,0.006676911858745378,1.0,0.0,1.0048693976868293,1.0049706393498223,0.0,buy_and_hold,buy_and_hold,validation,
2020-01-09,-0.003365411930239981,-0.003365411930239981,1.0,0.0,1.0014875982275209,1.0015884991706134,-0.003365411930240092,buy_and_hold,buy_and_hold,validation,
2020-01-10,0.0064359392148931605,0.0064359392148931605,1.0,0.0,1.0079331115341825,1.0080346618696117,0.0,buy_and_hold,buy_and_hold,validation,
2020-01-13,-0.0005667199108545887,-0.0005667199108545887,1.0,0.0,1.0073618957710666,1.0074633885558986,-0.0005667199108544407,buy_and_hold,buy_and_hold,validation,
2020-01-14,0.0016904816244477001,0.0016904816244477001,1.0,0.0,1.0090648225450363,1.009166486901556,0.0,buy_and_hold,buy_and_hold,validation,
2020-01-15,0.008716189187364535,0.008716189187364535,1.0,0.0,1.0178600224406533,1.017962572922938,0.0,buy_and_hold,buy_and_hold,validation,
2020-01-16,0.002683120410813533,0.002683120410813533,1.0,0.0,1.020591063442215,1.0206938890797919,0.0,buy_and_hold,buy_and_hold,validation,
2020-01-17,-0.004091095447318893,-0.004091095447318893,1.0,0.0,1.0164157279889923,1.0165181329570714,-0.004091095447318893,buy_and_hold,buy_and_hold,validation,
2020-01-21,0.0003541860127697823,0.0003541860127697823,1.0,0.0,1.0167757282230052,1.0168781694614917,-0.0037383584433334782,buy_and_hold,buy_and_hold,validation,
2020-01-22,0.00017191037870241863,0.00017191037870241863,1.0,0.0,1.0169505225234994,1.0170529813726978,-0.0035670907272468133,buy_and_hold,buy_and_hold,validation,
2020-01-23,-0.007971118308564562,-0.007971118308564562,1.0,0.0,1.008844289594508,1.0089459317320977,-0.011509775333607086,buy_and_hold,buy_and_hold,validation,
2020-01-24,-0.016484726636941154,-0.016484726636941154,1.0,0.0,0.9922137672613035,0.9923137338560402,-0.027804766470521103,buy_and_hold,buy_and_hold,validation,
2020-01-27,0.009554347370912541,0.009554347370912541,1.0,0.0,1.0016937222599198,1.001794643970228,-0.018516075497034934,buy_and_hold,buy_and_hold,validation,
